problem,solver,phi,eps,n_evals,seed,cardinality,n_columns,file
dtlz2_interval,mopso,ls,0.25,5000,15,200,6,raw/dtlz2_interval_mopso_ls_0.25_5000.npz
dtlz2_interval,mopso,ls,0.5,5000,11,200,6,raw/dtlz2_interval_mopso_ls_0.5_5000.npz
dtlz2_interval,mopso,ls,0.5,5000,12,200,6,raw/dtlz2_interval_mopso_ls_0.5_5000.npz
dtlz2_interval,mopso,ls,0.5,5000,13,200,6,raw/dtlz2_interval_mopso_ls_0.5_5000.npz
dtlz2_interval,mopso,ls,0.5,5000,14,200,6,raw/dtlz2_interval_mopso_ls_0.5_5000.npz
dtlz2_interval,mopso,ls,0.5,5000,15,200,6,raw/dtlz2_interval_mopso_ls_0.5_5000.npz
dtlz2_interval,mopso,lu,0.0,5000,11,123,6,raw/dtlz2_interval_mopso_lu_0.0_5000.npz
dtlz2_interval,mopso,lu,0.0,5000,12,107,6,raw/dtlz2_interval_mopso_lu_0.0_5000.npz
dtlz2_interval,mopso,lu,0.0,5000,13,109,6,raw/dtlz2_interval_mopso_lu_0.0_5000.npz
dtlz2_interval,mopso,lu,0.0,5000,14,109,6,raw/dtlz2_interval_mopso_lu_0.0_5000.npz
dtlz2_interval,mopso,lu,0.0,5000,15,115,6,raw/dtlz2_interval_mopso_lu_0.0_5000.npz
dtlz2_interval,mopso,lu,0.05,5000,11,200,6,raw/dtlz2_interval_mopso_lu_0.05_5000.npz
dtlz2_interval,mopso,lu,0.05,5000,12,200,6,raw/dtlz2_interval_mopso_lu_0.05_5000.npz
dtlz2_interval,mopso,lu,0.05,5000,13,200,6,raw/dtlz2_interval_mopso_lu_0.05_5000.npz
dtlz2_interval,mopso,lu,0.05,5000,14,197,6,raw/dtlz2_interval_mopso_lu_0.05_5000.npz
dtlz2_interval,mopso,lu,0.05,5000,15,200,6,raw/dtlz2_interval_mopso_lu_0.05_5000.npz
dtlz2_interval,mopso,lu,0.1,5000,11,200,6,raw/dtlz2_interval_mopso_lu_0.1_5000.npz
dtlz2_interval,mopso,lu,0.1,5000,12,198,6,raw/dtlz2_interval_mopso_lu_0.1_5000.npz
