measurement,problem,phi,column,n_evals,free_set_size,constant_column,defined,n_seeds,median,q1,q3,iqr,mean,standard_deviation,standard_error
m-2_overhang,p1,cw,0,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,cw,0,20000,0,False,True,5,2.3285597857725,2.2132913972858055,2.438174851967955,0.22488345468214943,2.253452471405782,0.31703983540876607,0.14178452470986913
m-2_overhang,p1,cw,0,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,cw,1,5000,1,False,True,5,2.2668393782383416,2.1998742928975488,2.437943262411347,0.2380689695137983,2.240349715153661,0.24053525789290894,0.10757063752679744
m-2_overhang,p1,cw,1,5000,1,False,True,5,0.0,0.0,0.05692723165516833,0.05692723165516833,0.041573358444416855,0.06591991350554674,0.029480281533861792
m-1_tail_survival_lift,p1,cw,1,20000,1,False,True,5,2.2121317964838747,2.080083203328133,2.329780418195585,0.24969721486745167,2.1834805505594406,0.22568209441695788,0.10092810088416872
m-2_overhang,p1,cw,1,20000,1,False,True,5,0.0,0.0,0.015704612051547606,0.015704612051547606,0.0692105379771808,0.14613862813531683,0.06535518132982635
m-1_tail_survival_lift,p1,cw,2,5000,0,False,True,5,1.7452006980802792,1.665556295802798,1.7730496453900708,0.10749334958727275,1.7186789365103994,0.17346201869367817,0.07757457306268073
m-2_overhang,p1,cw,2,5000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,cw,2,20000,0,False,True,5,1.617842491477437,1.5093463369325437,1.6308462927369094,0.12149995580436568,1.7191356857776328,0.3455381832009382,0.15452937329181474
m-2_overhang,p1,cw,2,20000,0,False,True,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m-1_tail_survival_lift,p1,cw,3,5000,1,False,True,5,1.94300518134715,1.6760946993505135,2.105496453900709,0.4294017545501956,1.9607075779118808,0.331686427162158,0.14833467966972358
m-2_overhang,p1,cw,3,5000,1,False,True,5,0.029342030921972073,0.0,0.36912851713137496,0.36912851713137496,0.16279440422307445,0.21050427597985855,0.09414037412906796
m-1_tail_survival_lift,p1,cw,3,20000,1,False,True,5,1.8628478286179997,1.7415534656913967,2.080083203328133,0.33852973763673644,1.9041017452679392,0.31038474629698654,0.1388082783798176
