problem,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
p0,lu,ls,check,coverage_b_in_a,5000,12,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,12,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,12,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,12,0.2,0.4,2.0,5000,5000,1.0
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.0,0.0,2.0,5000,1,0.0002
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.0,0.0,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.01,0.02,2.0,5000,1,0.0208
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.01,0.02,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.01,0.02,2.0,5000,1,0.020995800839832032
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.02,0.04,2.0,5000,1,0.0428
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.02,0.04,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.02,0.04,2.0,5000,1,0.04299140171965607
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.05,0.1,2.0,5000,1,0.104
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.05,0.1,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.05,0.1,2.0,5000,1,0.10417916416716656
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.1,0.2,2.0,5000,1,0.1958
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.1,0.2,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.1,0.2,2.0,5000,1,0.1959608078384323
p0,lu,cw,finding,coverage_a_in_b,5000,12,0.2,0.4,2.0,5000,1,0.3894
p0,lu,cw,finding,coverage_b_in_a,5000,12,0.2,0.4,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,12,0.2,0.4,2.0,5000,1,0.3895220955808838
p0,ls,cw,check,coverage_a_in_b,5000,12,0.0,0.0,2.0,5000,1,0.0002
p0,ls,cw,check,coverage_b_in_a,5000,12,0.0,0.0,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,12,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,ls,cw,check,coverage_a_in_b,5000,12,0.01,0.02,2.0,5000,1,0.0208
p0,ls,cw,check,coverage_b_in_a,5000,12,0.01,0.02,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,12,0.01,0.02,2.0,5000,1,0.020995800839832032
p0,ls,cw,check,coverage_a_in_b,5000,12,0.02,0.04,2.0,5000,1,0.0428
p0,ls,cw,check,coverage_b_in_a,5000,12,0.02,0.04,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,12,0.02,0.04,2.0,5000,1,0.04299140171965607
p0,ls,cw,check,coverage_a_in_b,5000,12,0.05,0.1,2.0,5000,1,0.104
p0,ls,cw,check,coverage_b_in_a,5000,12,0.05,0.1,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,12,0.05,0.1,2.0,5000,1,0.10417916416716656
p0,ls,cw,check,coverage_a_in_b,5000,12,0.1,0.2,2.0,5000,1,0.1958
p0,ls,cw,check,coverage_b_in_a,5000,12,0.1,0.2,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,12,0.1,0.2,2.0,5000,1,0.1959608078384323
p0,ls,cw,check,coverage_a_in_b,5000,12,0.2,0.4,2.0,5000,1,0.3894
p0,ls,cw,check,coverage_b_in_a,5000,12,0.2,0.4,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,12,0.2,0.4,2.0,5000,1,0.3895220955808838
p0,lu,ls,check,coverage_a_in_b,5000,13,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,13,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,13,0.0,0.0,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,13,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,13,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,13,0.01,0.02,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,13,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,13,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,13,0.02,0.04,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,13,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,13,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,13,0.05,0.1,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,13,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,13,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,13,0.1,0.2,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_a_in_b,5000,13,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,coverage_b_in_a,5000,13,0.2,0.4,2.0,5000,5000,1.0
p0,lu,ls,check,overlap,5000,13,0.2,0.4,2.0,5000,5000,1.0
p0,lu,cw,finding,coverage_a_in_b,5000,13,0.0,0.0,2.0,5000,1,0.0002
p0,lu,cw,finding,coverage_b_in_a,5000,13,0.0,0.0,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,13,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,lu,cw,finding,coverage_a_in_b,5000,13,0.01,0.02,2.0,5000,1,0.021
p0,lu,cw,finding,coverage_b_in_a,5000,13,0.01,0.02,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,13,0.01,0.02,2.0,5000,1,0.021195760847830435
p0,lu,cw,finding,coverage_a_in_b,5000,13,0.02,0.04,2.0,5000,1,0.04
p0,lu,cw,finding,coverage_b_in_a,5000,13,0.02,0.04,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,13,0.02,0.04,2.0,5000,1,0.04019196160767846
p0,lu,cw,finding,coverage_a_in_b,5000,13,0.05,0.1,2.0,5000,1,0.104
p0,lu,cw,finding,coverage_b_in_a,5000,13,0.05,0.1,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,13,0.05,0.1,2.0,5000,1,0.10417916416716656
p0,lu,cw,finding,coverage_a_in_b,5000,13,0.1,0.2,2.0,5000,1,0.2046
p0,lu,cw,finding,coverage_b_in_a,5000,13,0.1,0.2,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,13,0.1,0.2,2.0,5000,1,0.20475904819036192
p0,lu,cw,finding,coverage_a_in_b,5000,13,0.2,0.4,2.0,5000,1,0.4032
p0,lu,cw,finding,coverage_b_in_a,5000,13,0.2,0.4,2.0,5000,1,1.0
p0,lu,cw,finding,overlap,5000,13,0.2,0.4,2.0,5000,1,0.40331933613277343
p0,ls,cw,check,coverage_a_in_b,5000,13,0.0,0.0,2.0,5000,1,0.0002
p0,ls,cw,check,coverage_b_in_a,5000,13,0.0,0.0,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,13,0.0,0.0,2.0,5000,1,0.0003999200159968006
p0,ls,cw,check,coverage_a_in_b,5000,13,0.01,0.02,2.0,5000,1,0.021
p0,ls,cw,check,coverage_b_in_a,5000,13,0.01,0.02,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,13,0.01,0.02,2.0,5000,1,0.021195760847830435
p0,ls,cw,check,coverage_a_in_b,5000,13,0.02,0.04,2.0,5000,1,0.04
p0,ls,cw,check,coverage_b_in_a,5000,13,0.02,0.04,2.0,5000,1,1.0
p0,ls,cw,check,overlap,5000,13,0.02,0.04,2.0,5000,1,0.04019196160767846
