problem,solver,phi,n_evals,seed,cardinality,n_dominating,share_dominating,widest_margin,widest_x_1,widest_x_2
ibk1,random_search,lu,5000,11,121,10,0.08264462809917356,0.21658079503698424,3.311953322160271,2.055163613380797
ibk1,random_search,lu,5000,12,110,10,0.09090909090909091,0.2564834088398651,3.0100588795136893,2.278149480849649
ibk1,random_search,lu,5000,13,132,8,0.06060606060606061,0.2400747579619611,2.7359218492223487,2.46891869993245
ibk1,random_search,lu,5000,14,119,5,0.04201680672268908,0.24284582299283586,3.088906269410913,2.197780786059962
ibk1,random_search,lu,5000,15,151,12,0.07947019867549669,0.2437580741349592,3.0545067606794767,2.285998407448931
ibk1,random_search,lu,20000,11,413,30,0.07263922518159806,0.21832853324045165,2.92368368196186,2.272584517341734
ibk1,random_search,lu,20000,12,380,42,0.11052631578947368,0.2696260926903262,2.7758735611392957,2.4945113762172895
ibk1,random_search,lu,20000,13,370,31,0.08378378378378379,0.26249110838490597,2.9499756543819817,2.334355781705977
ibk1,random_search,lu,20000,14,374,23,0.06149732620320856,0.2545750240872031,3.102695867364215,2.2093626556983192
ibk1,random_search,lu,20000,15,425,39,0.09176470588235294,0.24595577810229585,2.9128446725141863,2.3321553909710886
ibk1,random_search,ls,5000,11,145,10,0.06896551724137931,0.21658079503698424,3.311953322160271,2.055163613380797
ibk1,random_search,ls,5000,12,143,11,0.07692307692307693,0.2564834088398651,3.0100588795136893,2.278149480849649
ibk1,random_search,ls,5000,13,160,12,0.075,0.2400747579619611,2.7359218492223487,2.46891869993245
ibk1,random_search,ls,5000,14,140,6,0.04285714285714286,0.24284582299283586,3.088906269410913,2.197780786059962
ibk1,random_search,ls,5000,15,179,12,0.0670391061452514,0.2437580741349592,3.0545067606794767,2.285998407448931
ibk1,random_search,ls,20000,11,501,40,0.07984031936127745,0.21832853324045165,2.92368368196186,2.272584517341734
ibk1,random_search,ls,20000,12,465,46,0.0989247311827957,0.2696260926903262,2.7758735611392957,2.4945113762172895
ibk1,random_search,ls,20000,13,453,36,0.07947019867549669,0.26249110838490597,2.9499756543819817,2.334355781705977
ibk1,random_search,ls,20000,14,454,27,0.05947136563876652,0.2545750240872031,3.102695867364215,2.2093626556983192
ibk1,random_search,ls,20000,15,525,46,0.08761904761904762,0.24595577810229585,2.9128446725141863,2.3321553909710886
ibk1,random_search,cw,5000,11,106,8,0.07547169811320754,0.10894432279726995,3.368158701029511,2.08138901548827
ibk1,random_search,cw,5000,12,102,9,0.08823529411764706,0.2564834088398651,3.0100588795136893,2.278149480849649
ibk1,random_search,cw,5000,13,122,8,0.06557377049180328,0.2400747579619611,2.7359218492223487,2.46891869993245
ibk1,random_search,cw,5000,14,105,4,0.0380952380952381,0.22684756206834256,2.819720134521667,2.3711078212474455
ibk1,random_search,cw,5000,15,137,10,0.072992700729927,0.2437580741349592,3.0545067606794767,2.285998407448931
ibk1,random_search,cw,20000,11,365,26,0.07123287671232877,0.21832853324045165,2.92368368196186,2.272584517341734
ibk1,random_search,cw,20000,12,340,38,0.11176470588235295,0.2696260926903262,2.7758735611392957,2.4945113762172895
ibk1,random_search,cw,20000,13,330,27,0.08181818181818182,0.26249110838490597,2.9499756543819817,2.334355781705977
ibk1,random_search,cw,20000,14,331,18,0.054380664652567974,0.22684756206834256,2.819720134521667,2.3711078212474455
ibk1,random_search,cw,20000,15,377,38,0.10079575596816977,0.24595577810229585,2.9128446725141863,2.3321553909710886
ibk1,nsga2,lu,5000,11,100,5,0.05,0.22675580227894865,2.724136311351917,2.4532262668419773
ibk1,nsga2,lu,5000,12,100,4,0.04,0.24146166111424705,2.737321958142701,2.5412916914958257
ibk1,nsga2,lu,5000,13,100,5,0.05,0.1970767422136559,2.3583122997092025,2.767537531783399
