problem,solver,phi_a,phi_b,status,n_evals,delta,box_scale,n_seeds,dice_median,dice_q1,dice_q3,jaccard_median,jaccard_q1,jaccard_q3
ibk1,random_search,ls,cw,check,5000,0.0,28.284271247461902,5,0.8571428571428571,0.8446215139442231,0.8652482269503546,0.75,0.7310344827586208,0.7625000000000001
ibk1,random_search,ls,cw,check,5000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search,ls,cw,check,20000,0.0,28.284271247461902,5,0.8429561200923787,0.842911877394636,0.8433121019108281,0.7285429141716567,0.728476821192053,0.7290748898678414
ibk1,random_search,ls,cw,check,20000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search,lu,cw,finding,5000,0.0,28.284271247461902,5,0.8660714285714286,0.8546255506607929,0.8740157480314961,0.7637795275590552,0.7461538461538462,0.7762237762237763
ibk1,random_search,lu,cw,finding,5000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search,lu,cw,finding,20000,0.0,28.284271247461902,5,0.8857142857142857,0.8805555555555555,0.8877805486284289,0.7948717948717948,0.7866004962779156,0.7982062780269058
ibk1,random_search,lu,cw,finding,20000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search,lu,ls,check,5000,0.0,28.284271247461902,5,0.9097744360902256,0.9041095890410958,0.9151515151515152,0.8344827586206897,0.825,0.8435754189944134
ibk1,random_search,lu,ls,check,5000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search,lu,ls,check,20000,0.0,28.284271247461902,5,0.8994082840236687,0.8991494532199271,0.9033816425120773,0.817204301075269,0.8167770419426049,0.8237885462555067
ibk1,random_search,lu,ls,check,20000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search_noise_floor,cw,cw,check,5000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search_noise_floor,cw,cw,check,20000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search_noise_floor,ls,ls,check,5000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search_noise_floor,ls,ls,check,20000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search_noise_floor,lu,lu,check,5000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
ibk1,random_search_noise_floor,lu,lu,check,20000,1.4142135623730951,28.284271247461902,5,1.0,1.0,1.0,1.0,1.0,1.0
