problem,solver,phi_a,phi_b,status,metric,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,containment_violations,value
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,0.1,2.8284271247461903,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,0.1,2.8284271247461903,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,0.1,2.8284271247461903,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,11,0.1,2.8284271247461903,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,0.1,2.8284271247461903,28.284271247461902,121,106,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,0.1,2.8284271247461903,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,0.1,2.8284271247461903,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,11,0.1,2.8284271247461903,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,11,0.1,2.8284271247461903,28.284271247461902,145,106,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,11,0.2,5.656854249492381,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,11,0.2,5.656854249492381,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,overlap,5000,11,0.2,5.656854249492381,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,0.2,5.656854249492381,28.284271247461902,121,145,,1.0
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,0.2,5.656854249492381,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,0.2,5.656854249492381,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,11,0.2,5.656854249492381,28.284271247461902,121,106,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,0.2,5.656854249492381,28.284271247461902,121,106,,1.0
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,0.2,5.656854249492381,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,0.2,5.656854249492381,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,11,0.2,5.656854249492381,28.284271247461902,145,106,,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,11,0.2,5.656854249492381,28.284271247461902,145,106,,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,0.0,0.0,28.284271247461902,110,143,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,0.0,0.0,28.284271247461902,110,143,,0.7692307692307693
ibk1,random_search,lu,ls,check,overlap,5000,12,0.0,0.0,28.284271247461902,110,143,,0.8695652173913043
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,0.0,0.0,28.284271247461902,110,143,,0.7692307692307692
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,0.0,0.0,28.284271247461902,110,102,,0.8454545454545455
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,0.0,0.0,28.284271247461902,110,102,,0.9117647058823529
ibk1,random_search,lu,cw,finding,overlap,5000,12,0.0,0.0,28.284271247461902,110,102,,0.8773584905660378
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,0.0,0.0,28.284271247461902,110,102,,0.7815126050420168
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,0.0,0.0,28.284271247461902,143,102,,0.7132867132867133
