problem,solver,phi_a,phi_b,status,metric,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
ibk1,random_search,lu,ls,check,overlap,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_a_under_b,5000,13,132,160,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_b_under_a,5000,13,132,160,1.4142135623730951,0,0.825
ibk1,random_search,lu,cw,finding,hausdorff_a_to_b,5000,13,132,122,1.4142135623730951,,0.7291326965638429
ibk1,random_search,lu,cw,finding,hausdorff_b_to_a,5000,13,132,122,1.4142135623730951,,0.5842714491541006
ibk1,random_search,lu,cw,finding,hausdorff_symmetric,5000,13,132,122,1.4142135623730951,,0.7291326965638429
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,132,122,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,132,122,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,13,132,122,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,132,122,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,cross_a_under_b,5000,13,132,122,1.4142135623730951,,0.8409090909090909
ibk1,random_search,lu,cw,finding,cross_b_under_a,5000,13,132,122,1.4142135623730951,,0.9098360655737705
ibk1,random_search,ls,cw,check,hausdorff_a_to_b,5000,13,160,122,1.4142135623730951,0,0.8385346155735813
ibk1,random_search,ls,cw,check,hausdorff_b_to_a,5000,13,160,122,1.4142135623730951,0,0.0
ibk1,random_search,ls,cw,check,hausdorff_symmetric,5000,13,160,122,1.4142135623730951,0,0.8385346155735813
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,160,122,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,160,122,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,160,122,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,160,122,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,cross_a_under_b,5000,13,160,122,1.4142135623730951,0,0.7625
ibk1,random_search,ls,cw,check,cross_b_under_a,5000,13,160,122,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,hausdorff_a_to_b,5000,14,119,140,1.4142135623730951,0,0.0
ibk1,random_search,lu,ls,check,hausdorff_b_to_a,5000,14,119,140,1.4142135623730951,0,0.6997378893540933
ibk1,random_search,lu,ls,check,hausdorff_symmetric,5000,14,119,140,1.4142135623730951,0,0.6997378893540933
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,14,119,140,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,14,119,140,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap,5000,14,119,140,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,14,119,140,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_a_under_b,5000,14,119,140,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_b_under_a,5000,14,119,140,1.4142135623730951,0,0.85
ibk1,random_search,lu,cw,finding,hausdorff_a_to_b,5000,14,119,105,1.4142135623730951,,0.45342648704511157
ibk1,random_search,lu,cw,finding,hausdorff_b_to_a,5000,14,119,105,1.4142135623730951,,0.4366718394530072
ibk1,random_search,lu,cw,finding,hausdorff_symmetric,5000,14,119,105,1.4142135623730951,,0.45342648704511157
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,14,119,105,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,14,119,105,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,14,119,105,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,14,119,105,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,cross_a_under_b,5000,14,119,105,1.4142135623730951,,0.8151260504201681
ibk1,random_search,lu,cw,finding,cross_b_under_a,5000,14,119,105,1.4142135623730951,,0.9238095238095239
ibk1,random_search,ls,cw,check,hausdorff_a_to_b,5000,14,140,105,1.4142135623730951,0,0.6997378893540933
ibk1,random_search,ls,cw,check,hausdorff_b_to_a,5000,14,140,105,1.4142135623730951,0,0.0
ibk1,random_search,ls,cw,check,hausdorff_symmetric,5000,14,140,105,1.4142135623730951,0,0.6997378893540933
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,14,140,105,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,14,140,105,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap,5000,14,140,105,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,14,140,105,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,cross_a_under_b,5000,14,140,105,1.4142135623730951,0,0.75
ibk1,random_search,ls,cw,check,cross_b_under_a,5000,14,140,105,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,hausdorff_a_to_b,5000,15,151,179,1.4142135623730951,0,0.0
ibk1,random_search,lu,ls,check,hausdorff_b_to_a,5000,15,151,179,1.4142135623730951,0,0.5305104095212612
ibk1,random_search,lu,ls,check,hausdorff_symmetric,5000,15,151,179,1.4142135623730951,0,0.5305104095212612
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,15,151,179,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,15,151,179,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap,5000,15,151,179,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,15,151,179,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_a_under_b,5000,15,151,179,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,cross_b_under_a,5000,15,151,179,1.4142135623730951,0,0.8435754189944135
ibk1,random_search,lu,cw,finding,hausdorff_a_to_b,5000,15,151,137,1.4142135623730951,,0.4779600552491583
ibk1,random_search,lu,cw,finding,hausdorff_b_to_a,5000,15,151,137,1.4142135623730951,,0.4657745004840551
ibk1,random_search,lu,cw,finding,hausdorff_symmetric,5000,15,151,137,1.4142135623730951,,0.4779600552491583
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,15,151,137,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,15,151,137,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap,5000,15,151,137,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,15,151,137,1.4142135623730951,,1.0
ibk1,random_search,lu,cw,finding,cross_a_under_b,5000,15,151,137,1.4142135623730951,,0.8145695364238411
ibk1,random_search,lu,cw,finding,cross_b_under_a,5000,15,151,137,1.4142135623730951,,0.9051094890510949
ibk1,random_search,ls,cw,check,hausdorff_a_to_b,5000,15,179,137,1.4142135623730951,0,0.4779600552491583
ibk1,random_search,ls,cw,check,hausdorff_b_to_a,5000,15,179,137,1.4142135623730951,0,0.0
ibk1,random_search,ls,cw,check,hausdorff_symmetric,5000,15,179,137,1.4142135623730951,0,0.4779600552491583
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,15,179,137,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,15,179,137,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap,5000,15,179,137,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,15,179,137,1.4142135623730951,0,1.0
ibk1,random_search,ls,cw,check,cross_a_under_b,5000,15,179,137,1.4142135623730951,0,0.7653631284916201
ibk1,random_search,ls,cw,check,cross_b_under_a,5000,15,179,137,1.4142135623730951,0,1.0
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,11,121,145,0.0,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,11,121,145,0.0,,0.8344827586206897
ibk1,random_search,lu,ls,check,overlap,5000,11,121,145,0.0,,0.9097744360902256
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,11,121,145,0.0,,0.8344827586206897
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,11,121,106,0.0,,0.8016528925619835
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,11,121,106,0.0,,0.9150943396226415
ibk1,random_search,lu,cw,finding,overlap,5000,11,121,106,0.0,,0.8546255506607929
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,11,121,106,0.0,,0.7461538461538462
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,11,145,106,0.0,,0.7310344827586207
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,11,145,106,0.0,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,11,145,106,0.0,,0.8446215139442231
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,11,145,106,0.0,,0.7310344827586208
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,12,110,143,0.0,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,12,110,143,0.0,,0.7692307692307693
ibk1,random_search,lu,ls,check,overlap,5000,12,110,143,0.0,,0.8695652173913043
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,12,110,143,0.0,,0.7692307692307692
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,12,110,102,0.0,,0.8454545454545455
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,12,110,102,0.0,,0.9117647058823529
ibk1,random_search,lu,cw,finding,overlap,5000,12,110,102,0.0,,0.8773584905660378
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,12,110,102,0.0,,0.7815126050420168
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,12,143,102,0.0,,0.7132867132867133
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,12,143,102,0.0,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,12,143,102,0.0,,0.8326530612244898
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,12,143,102,0.0,,0.7132867132867132
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,13,132,160,0.0,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,13,132,160,0.0,,0.825
ibk1,random_search,lu,ls,check,overlap,5000,13,132,160,0.0,,0.9041095890410958
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,13,132,160,0.0,,0.825
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,13,132,122,0.0,,0.8409090909090909
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,13,132,122,0.0,,0.9098360655737705
ibk1,random_search,lu,cw,finding,overlap,5000,13,132,122,0.0,,0.8740157480314961
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,13,132,122,0.0,,0.7762237762237763
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,13,160,122,0.0,,0.7625
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,13,160,122,0.0,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,13,160,122,0.0,,0.8652482269503546
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,13,160,122,0.0,,0.7625000000000001
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,14,119,140,0.0,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,14,119,140,0.0,,0.85
ibk1,random_search,lu,ls,check,overlap,5000,14,119,140,0.0,,0.918918918918919
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,14,119,140,0.0,,0.85
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,14,119,105,0.0,,0.8151260504201681
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,14,119,105,0.0,,0.9238095238095239
ibk1,random_search,lu,cw,finding,overlap,5000,14,119,105,0.0,,0.8660714285714286
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,14,119,105,0.0,,0.7637795275590552
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,14,140,105,0.0,,0.75
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,14,140,105,0.0,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,14,140,105,0.0,,0.8571428571428571
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,14,140,105,0.0,,0.75
ibk1,random_search,lu,ls,check,coverage_a_in_b,5000,15,151,179,0.0,,1.0
ibk1,random_search,lu,ls,check,coverage_b_in_a,5000,15,151,179,0.0,,0.8435754189944135
ibk1,random_search,lu,ls,check,overlap,5000,15,151,179,0.0,,0.9151515151515152
ibk1,random_search,lu,ls,check,overlap_jaccard,5000,15,151,179,0.0,,0.8435754189944134
ibk1,random_search,lu,cw,finding,coverage_a_in_b,5000,15,151,137,0.0,,0.8145695364238411
ibk1,random_search,lu,cw,finding,coverage_b_in_a,5000,15,151,137,0.0,,0.8978102189781022
ibk1,random_search,lu,cw,finding,overlap,5000,15,151,137,0.0,,0.8541666666666666
ibk1,random_search,lu,cw,finding,overlap_jaccard,5000,15,151,137,0.0,,0.7454545454545454
ibk1,random_search,ls,cw,check,coverage_a_in_b,5000,15,179,137,0.0,,0.7653631284916201
ibk1,random_search,ls,cw,check,coverage_b_in_a,5000,15,179,137,0.0,,1.0
ibk1,random_search,ls,cw,check,overlap,5000,15,179,137,0.0,,0.8670886075949367
ibk1,random_search,ls,cw,check,overlap_jaccard,5000,15,179,137,0.0,,0.76536312849162
ibk1,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,11,121,110,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_b_in_a,5000,11,121,110,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap,5000,11,121,110,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,overlap_jaccard,5000,11,121,110,1.4142135623730951,,1.0
ibk1,random_search_noise_floor,lu,lu,check,coverage_a_in_b,5000,12,110,132,1.4142135623730951,,1.0
