problem,phi,solver,metric,n_evals,seed,cardinality,full_cardinality,reference_size,include_singular_segments,value
ibk1,lu,mopso,spread,20000,13,100,162,1000,False,24.559537324349346
ibk1,lu,mopso,igd,20000,13,100,162,1000,False,0.20104788513156846
ibk1,lu,mopso,hypervolume,20000,13,100,162,1000,False,7512.382807607146
ibk1,lu,mopso,spread,20000,14,100,157,1000,False,25.03047089862505
ibk1,lu,mopso,igd,20000,14,100,157,1000,False,0.18404797617862484
ibk1,lu,mopso,hypervolume,20000,14,100,157,1000,False,7521.076411883409
ibk1,lu,mopso,spread,20000,15,100,200,1000,False,22.295394254591308
ibk1,lu,mopso,igd,20000,15,100,200,1000,False,0.18194062616975185
ibk1,lu,mopso,hypervolume,20000,15,100,200,1000,False,7531.001118281988
ibk1,ls,random_search,spread,5000,11,100,145,1000,False,18.041383787700244
ibk1,ls,random_search,igd,5000,11,100,145,1000,False,0.20012175007434074
ibk1,ls,random_search,hypervolume,5000,11,100,145,1000,False,3124.5976463394013
ibk1,ls,random_search,spread,5000,12,100,143,1000,False,18.060054742089065
ibk1,ls,random_search,igd,5000,12,100,143,1000,False,0.19318575752719613
ibk1,ls,random_search,hypervolume,5000,12,100,143,1000,False,3120.3853974083668
ibk1,ls,random_search,spread,5000,13,100,160,1000,False,18.873217337675893
ibk1,ls,random_search,igd,5000,13,100,160,1000,False,0.20756235817303087
ibk1,ls,random_search,hypervolume,5000,13,100,160,1000,False,3131.609535367228
ibk1,ls,random_search,spread,5000,14,100,140,1000,False,17.75905011368849
ibk1,ls,random_search,igd,5000,14,100,140,1000,False,0.1920915869148493
ibk1,ls,random_search,hypervolume,5000,14,100,140,1000,False,3129.0424315752302
ibk1,ls,random_search,spread,5000,15,100,179,1000,False,17.483360305822654
ibk1,ls,random_search,igd,5000,15,100,179,1000,False,0.17753028487000608
ibk1,ls,random_search,hypervolume,5000,15,100,179,1000,False,3138.8970748528154
ibk1,ls,random_search,spread,20000,11,100,501,1000,False,17.94136264498527
ibk1,ls,random_search,igd,20000,11,100,501,1000,False,0.18945756324762836
ibk1,ls,random_search,hypervolume,20000,11,100,501,1000,False,3138.298797528608
ibk1,ls,random_search,spread,20000,12,100,465,1000,False,17.37328582442892
ibk1,ls,random_search,igd,20000,12,100,465,1000,False,0.17874486308887177
ibk1,ls,random_search,hypervolume,20000,12,100,465,1000,False,3136.7590349635557
ibk1,ls,random_search,spread,20000,13,100,453,1000,False,16.709536101156836
ibk1,ls,random_search,igd,20000,13,100,453,1000,False,0.17693406819928206
ibk1,ls,random_search,hypervolume,20000,13,100,453,1000,False,3138.72163236586
ibk1,ls,random_search,spread,20000,14,100,454,1000,False,17.261218451570876
ibk1,ls,random_search,igd,20000,14,100,454,1000,False,0.16557580673965222
ibk1,ls,random_search,hypervolume,20000,14,100,454,1000,False,3148.8631844657207
ibk1,ls,random_search,spread,20000,15,100,525,1000,False,17.889148041991156
ibk1,ls,random_search,igd,20000,15,100,525,1000,False,0.16416520064941728
ibk1,ls,random_search,hypervolume,20000,15,100,525,1000,False,3141.649768862043
ibk1,ls,nsga2,spread,5000,11,100,100,1000,False,18.065579614692307
ibk1,ls,nsga2,igd,5000,11,100,100,1000,False,0.164294318934492
ibk1,ls,nsga2,hypervolume,5000,11,100,100,1000,False,3139.241329506879
ibk1,ls,nsga2,spread,5000,12,100,100,1000,False,18.20210361989449
ibk1,ls,nsga2,igd,5000,12,100,100,1000,False,0.16627262472358142
ibk1,ls,nsga2,hypervolume,5000,12,100,100,1000,False,3137.97942028981
ibk1,ls,nsga2,spread,5000,13,100,100,1000,False,18.129942953616453
ibk1,ls,nsga2,igd,5000,13,100,100,1000,False,0.1676212495375082
ibk1,ls,nsga2,hypervolume,5000,13,100,100,1000,False,3134.0657321013446
ibk1,ls,nsga2,spread,5000,14,100,100,1000,False,18.175987606605723
ibk1,ls,nsga2,igd,5000,14,100,100,1000,False,0.18691997660482484
ibk1,ls,nsga2,hypervolume,5000,14,100,100,1000,False,3127.22514048665
ibk1,ls,nsga2,spread,5000,15,100,100,1000,False,18.151795039520753
ibk1,ls,nsga2,igd,5000,15,100,100,1000,False,0.16504699577612142
ibk1,ls,nsga2,hypervolume,5000,15,100,100,1000,False,3136.065226377467
ibk1,ls,nsga2,spread,20000,11,100,100,1000,False,18.19835835334032
ibk1,ls,nsga2,igd,20000,11,100,100,1000,False,0.1619645958830028
ibk1,ls,nsga2,hypervolume,20000,11,100,100,1000,False,3140.122022968644
ibk1,ls,nsga2,spread,20000,12,100,100,1000,False,18.212257968915807
ibk1,ls,nsga2,igd,20000,12,100,100,1000,False,0.15410713837105713
ibk1,ls,nsga2,hypervolume,20000,12,100,100,1000,False,3143.7892744011206
ibk1,ls,nsga2,spread,20000,13,100,100,1000,False,18.19604444647276
ibk1,ls,nsga2,igd,20000,13,100,100,1000,False,0.1543083910124089
ibk1,ls,nsga2,hypervolume,20000,13,100,100,1000,False,3141.351549466944
ibk1,ls,nsga2,spread,20000,14,100,100,1000,False,18.190336720370745
ibk1,ls,nsga2,igd,20000,14,100,100,1000,False,0.1667541129007496
ibk1,ls,nsga2,hypervolume,20000,14,100,100,1000,False,3138.2123838540133
ibk1,ls,nsga2,spread,20000,15,100,100,1000,False,18.199150191232977
ibk1,ls,nsga2,igd,20000,15,100,100,1000,False,0.166237161451315
ibk1,ls,nsga2,hypervolume,20000,15,100,100,1000,False,3135.9688626063835
ibk1,ls,mopso,spread,5000,11,100,200,1000,False,18.10156531526668
ibk1,ls,mopso,igd,5000,11,100,200,1000,False,0.16238255853564218
ibk1,ls,mopso,hypervolume,5000,11,100,200,1000,False,3142.1817544170117
ibk1,ls,mopso,spread,5000,12,100,200,1000,False,17.726807324425405
ibk1,ls,mopso,igd,5000,12,100,200,1000,False,0.1689794476951421
ibk1,ls,mopso,hypervolume,5000,12,100,200,1000,False,3138.407580637522
ibk1,ls,mopso,spread,5000,13,100,200,1000,False,18.646866168232947
ibk1,ls,mopso,igd,5000,13,100,200,1000,False,0.16969393313327927
ibk1,ls,mopso,hypervolume,5000,13,100,200,1000,False,3140.6509237680707
ibk1,ls,mopso,spread,5000,14,100,191,1000,False,17.236100124833158
ibk1,ls,mopso,igd,5000,14,100,191,1000,False,0.19070205591046366
ibk1,ls,mopso,hypervolume,5000,14,100,191,1000,False,3132.1079009541836
ibk1,ls,mopso,spread,5000,15,100,200,1000,False,17.450269402729404
ibk1,ls,mopso,igd,5000,15,100,200,1000,False,0.15782489349469334
ibk1,ls,mopso,hypervolume,5000,15,100,200,1000,False,3150.3265234581004
ibk1,ls,mopso,spread,20000,11,100,200,1000,False,18.22751187570783
ibk1,ls,mopso,igd,20000,11,100,200,1000,False,0.1788656683544275
ibk1,ls,mopso,hypervolume,20000,11,100,200,1000,False,3133.7028503612187
ibk1,ls,mopso,spread,20000,12,100,187,1000,False,18.02563674626775
ibk1,ls,mopso,igd,20000,12,100,187,1000,False,0.17016172854556036
ibk1,ls,mopso,hypervolume,20000,12,100,187,1000,False,3141.6124168677766
ibk1,ls,mopso,spread,20000,13,100,200,1000,False,18.069513916440744
ibk1,ls,mopso,igd,20000,13,100,200,1000,False,0.16884996851583162
ibk1,ls,mopso,hypervolume,20000,13,100,200,1000,False,3137.408132849599
ibk1,ls,mopso,spread,20000,14,100,136,1000,False,17.937217387857814
ibk1,ls,mopso,igd,20000,14,100,136,1000,False,0.20533316222912198
ibk1,ls,mopso,hypervolume,20000,14,100,136,1000,False,3130.297973025581
ibk1,ls,mopso,spread,20000,15,100,175,1000,False,17.696997381433796
ibk1,ls,mopso,igd,20000,15,100,175,1000,False,0.17078258160185728
ibk1,ls,mopso,hypervolume,20000,15,100,175,1000,False,3139.597589045289
ibk1,cw,random_search,spread,5000,11,100,106,1000,False,17.298298239790554
ibk1,cw,random_search,igd,5000,11,100,106,1000,False,0.14185731786112507
ibk1,cw,random_search,hypervolume,5000,11,100,106,1000,False,3508.936396004974
ibk1,cw,random_search,spread,5000,12,100,102,1000,False,17.46534322047895
ibk1,cw,random_search,igd,5000,12,100,102,1000,False,0.11955367754965353
ibk1,cw,random_search,hypervolume,5000,12,100,102,1000,False,3513.4581949515923
ibk1,cw,random_search,spread,5000,13,100,122,1000,False,17.948924941266082
ibk1,cw,random_search,igd,5000,13,100,122,1000,False,0.13600359127758052
ibk1,cw,random_search,hypervolume,5000,13,100,122,1000,False,3517.3468691563176
ibk1,cw,random_search,spread,5000,14,100,105,1000,False,17.531102268093907
ibk1,cw,random_search,igd,5000,14,100,105,1000,False,0.13032289438841202
ibk1,cw,random_search,hypervolume,5000,14,100,105,1000,False,3516.3138854727276
ibk1,cw,random_search,spread,5000,15,100,137,1000,False,17.106830963043823
ibk1,cw,random_search,igd,5000,15,100,137,1000,False,0.1252958870836655
ibk1,cw,random_search,hypervolume,5000,15,100,137,1000,False,3515.4694605588497
ibk1,cw,random_search,spread,20000,11,100,365,1000,False,15.473170868382386
ibk1,cw,random_search,igd,20000,11,100,365,1000,False,0.15916788598360954
ibk1,cw,random_search,hypervolume,20000,11,100,365,1000,False,3524.3525590156996
ibk1,cw,random_search,spread,20000,12,100,340,1000,False,16.612221325434522
ibk1,cw,random_search,igd,20000,12,100,340,1000,False,0.1451542737694535
ibk1,cw,random_search,hypervolume,20000,12,100,340,1000,False,3515.08827159704
ibk1,cw,random_search,spread,20000,13,100,330,1000,False,17.086986617583676
ibk1,cw,random_search,igd,20000,13,100,330,1000,False,0.12444571772294459
ibk1,cw,random_search,hypervolume,20000,13,100,330,1000,False,3525.711847280915
ibk1,cw,random_search,spread,20000,14,100,331,1000,False,16.49231507015135
ibk1,cw,random_search,igd,20000,14,100,331,1000,False,0.1460864091404299
ibk1,cw,random_search,hypervolume,20000,14,100,331,1000,False,3501.901939361228
