problem,phi,column,depends_on,free_set,free_set_size,constant_column
ibk1,lu,0,0 1,,0,False
ibk1,lu,1,0 1,,0,False
ibk1,lu,2,0 1,,0,False
ibk1,lu,3,0 1,,0,False
ibk1,ls,0,0 1,,0,False
ibk1,ls,1,0 1,,0,False
ibk1,ls,2,0 1,,0,False
ibk1,ls,3,0 1,,0,False
ibk1,cw,0,0 1,,0,False
ibk1,cw,1,0 1,,0,False
ibk1,cw,2,0 1,,0,False
ibk1,cw,3,0 1,,0,False
