problem,phi_a,phi_b,status,metric,n_evals,delta,box_scale,exact,measured_median,measured_q1,measured_q3,error,relative_error
ibk1,lu,ls,check,coverage_a_in_b,5000,0.0,28.284271247461902,1.0,1.0,1.0,1.0,0.0,0.0
ibk1,lu,ls,check,coverage_a_in_b,5000,1.4142135623730951,28.284271247461902,1.0,1.0,1.0,1.0,0.0,0.0
ibk1,lu,ls,check,coverage_b_in_a,5000,0.0,28.284271247461902,0.6666919236450921,0.8344827586206897,0.825,0.8435754189944135,0.16779083497559755,0.2516767175732575
ibk1,lu,ls,check,coverage_b_in_a,5000,1.4142135623730951,28.284271247461902,0.6666919236450921,1.0,1.0,1.0,0.3333080763549079,0.4999431739514242
ibk1,lu,ls,check,overlap,5000,0.0,28.284271247461902,0.8000181847488911,0.9097744360902256,0.9041095890410958,0.9151515151515152,0.10975625134133449,0.13719219566963292
ibk1,lu,ls,check,overlap,5000,1.4142135623730951,28.284271247461902,0.8000181847488911,1.0,1.0,1.0,0.19998181525110892,0.24997158697571242
ibk1,lu,cw,finding,coverage_a_in_b,5000,0.0,28.284271247461902,0.7586703184069069,0.8151260504201681,0.8145695364238411,0.8409090909090909,0.05645573201326115,0.07441405132575851
ibk1,lu,cw,finding,coverage_a_in_b,5000,1.4142135623730951,28.284271247461902,0.7586703184069069,1.0,1.0,1.0,0.2413296815930931,0.3180955887398482
ibk1,lu,cw,finding,coverage_b_in_a,5000,0.0,28.284271247461902,1.0,0.9117647058823529,0.9098360655737705,0.9150943396226415,-0.08823529411764708,-0.08823529411764708
ibk1,lu,cw,finding,coverage_b_in_a,5000,1.4142135623730951,28.284271247461902,1.0,1.0,1.0,1.0,0.0,0.0
ibk1,lu,cw,finding,overlap,5000,0.0,28.284271247461902,0.8627771907746179,0.8660714285714286,0.8546255506607929,0.8740157480314961,0.003294237796810706,0.0038181790525235737
ibk1,lu,cw,finding,overlap,5000,1.4142135623730951,28.284271247461902,0.8627771907746179,1.0,1.0,1.0,0.1372228092253821,0.159047794369924
ibk1,ls,cw,check,coverage_a_in_b,5000,0.0,28.284271247461902,0.5057993739911353,0.75,0.7310344827586207,0.7625,0.24420062600886472,0.4828013607093642
ibk1,ls,cw,check,coverage_a_in_b,5000,1.4142135623730951,28.284271247461902,0.5057993739911353,1.0,1.0,1.0,0.4942006260088647,0.977068480945819
ibk1,ls,cw,check,coverage_b_in_a,5000,0.0,28.284271247461902,1.0,1.0,1.0,1.0,0.0,0.0
ibk1,ls,cw,check,coverage_b_in_a,5000,1.4142135623730951,28.284271247461902,1.0,1.0,1.0,1.0,0.0,0.0
ibk1,ls,cw,check,overlap,5000,0.0,28.284271247461902,0.6718018120176387,0.8571428571428571,0.8446215139442231,0.8652482269503546,0.18534104512521843,0.27588649183392233
ibk1,ls,cw,check,overlap,5000,1.4142135623730951,28.284271247461902,0.6718018120176387,1.0,1.0,1.0,0.32819818798236133,0.4885342404729094
