problem,solver,phi_a,phi_b,status,eps,n_evals,delta,box_scale,n_seeds,dice_median,dice_q1,dice_q3,jaccard_median,jaccard_q1,jaccard_q3
dtlz2_interval,random_search,ls,cw,check,0.0,5000,0.0,3.4641016151377544,5,1.0,1.0,1.0,1.0,1.0,1.0
dtlz2_interval,random_search,ls,cw,check,0.0,5000,0.17320508075688773,3.4641016151377544,5,1.0,1.0,1.0,1.0,1.0,1.0
dtlz2_interval,random_search,ls,cw,check,0.05,5000,0.0,3.4641016151377544,5,0.9596899224806201,0.9583333333333334,0.9625696840987523,0.9225037257824142,0.9200000000000002,0.9278403275332651
dtlz2_interval,random_search,ls,cw,check,0.05,5000,0.17320508075688773,3.4641016151377544,5,0.9596899224806201,0.9583333333333334,0.9625696840987523,0.9225037257824142,0.9200000000000002,0.9278403275332651
dtlz2_interval,random_search,ls,cw,check,0.1,5000,0.0,3.4641016151377544,5,0.9319949811794228,0.9265106151333696,0.9321336760925449,0.8726503759398496,0.8630831643002027,0.8728935965334617
dtlz2_interval,random_search,ls,cw,check,0.1,5000,0.17320508075688773,3.4641016151377544,5,0.9319949811794228,0.9265106151333696,0.9321336760925449,0.8726503759398496,0.8630831643002027,0.8728935965334617
dtlz2_interval,random_search,ls,cw,check,0.1,20000,0.0,3.4641016151377544,5,0.9052151497124727,0.9017547338158025,0.9067648769141307,0.8268429632312987,0.8210868387795631,0.8294326241134751
dtlz2_interval,random_search,ls,cw,check,0.1,20000,0.17320508075688773,3.4641016151377544,5,0.9052151497124727,0.9017547338158025,0.9067648769141307,0.8268429632312987,0.8210868387795631,0.8294326241134751
dtlz2_interval,random_search,ls,cw,check,0.25,5000,0.0,3.4641016151377544,5,0.8585298196948682,0.8471876555500248,0.8647746243739566,0.7521263669501823,0.734887737478411,0.761764705882353
dtlz2_interval,random_search,ls,cw,check,0.25,5000,0.17320508075688773,3.4641016151377544,5,0.8585298196948682,0.8471876555500248,0.8647746243739566,0.7521263669501823,0.734887737478411,0.761764705882353
dtlz2_interval,random_search,ls,cw,check,0.5,5000,0.0,3.4641016151377544,5,0.7749519128018807,0.7609692206941716,0.7763377926421404,0.6325889741800418,0.6141649048625794,0.6344379911171848
dtlz2_interval,random_search,ls,cw,check,0.5,5000,0.17320508075688773,3.4641016151377544,5,0.7749519128018807,0.7609692206941716,0.7763377926421404,0.6325889741800418,0.6141649048625794,0.6344379911171848
dtlz2_interval,random_search,lu,cw,finding,0.0,5000,0.0,3.4641016151377544,5,1.0,1.0,1.0,1.0,1.0,1.0
dtlz2_interval,random_search,lu,cw,finding,0.0,5000,0.17320508075688773,3.4641016151377544,5,1.0,1.0,1.0,1.0,1.0,1.0
dtlz2_interval,random_search,lu,cw,finding,0.05,5000,0.0,3.4641016151377544,5,0.2401891252955083,0.23849579416130628,0.24907063197026022,0.13648576034390114,0.1353932584269663,0.14225053078556263
dtlz2_interval,random_search,lu,cw,finding,0.05,5000,0.17320508075688773,3.4641016151377544,5,0.2401891252955083,0.23849579416130628,0.24907063197026022,0.13648576034390114,0.1353932584269663,0.14225053078556263
dtlz2_interval,random_search,lu,cw,finding,0.1,5000,0.0,3.4641016151377544,5,0.27929220468675275,0.27592507994518045,0.29808121374386437,0.1623123957754308,0.160042395336513,0.17514420555846882
dtlz2_interval,random_search,lu,cw,finding,0.1,5000,0.17320508075688773,3.4641016151377544,5,0.27929220468675275,0.27592507994518045,0.29808121374386437,0.1623123957754308,0.160042395336513,0.17514420555846882
