problem,phi,solver,metric,eps,n_evals,seed,cardinality,full_cardinality,reference_size,include_singular_segments,value
zdt1_interval,lu,nsga2,spread,0.05,5000,11,20,100,0,False,3.843678588142278
zdt1_interval,lu,nsga2,hypervolume,0.05,5000,11,20,100,0,False,34.631775384787765
zdt1_interval,lu,nsga2,spread,0.05,5000,12,20,100,0,False,5.613638643705303
zdt1_interval,lu,nsga2,hypervolume,0.05,5000,12,20,100,0,False,34.27116997760177
zdt1_interval,lu,nsga2,spread,0.05,5000,13,20,100,0,False,3.319602027957896
zdt1_interval,lu,nsga2,hypervolume,0.05,5000,13,20,100,0,False,35.91863141447413
zdt1_interval,lu,nsga2,spread,0.05,5000,14,20,100,0,False,5.18644296931851
zdt1_interval,lu,nsga2,hypervolume,0.05,5000,14,20,100,0,False,34.812471983076264
zdt1_interval,lu,nsga2,spread,0.05,5000,15,20,100,0,False,3.2426756037787716
zdt1_interval,lu,nsga2,hypervolume,0.05,5000,15,20,100,0,False,37.14963071866302
zdt1_interval,lu,mopso,spread,0.05,5000,11,20,200,0,False,4.656562623976965
zdt1_interval,lu,mopso,hypervolume,0.05,5000,11,20,200,0,False,30.743501711472923
zdt1_interval,lu,mopso,spread,0.05,5000,12,20,200,0,False,5.896120897617148
zdt1_interval,lu,mopso,hypervolume,0.05,5000,12,20,200,0,False,26.3566419946972
zdt1_interval,lu,mopso,spread,0.05,5000,13,20,200,0,False,6.311401021567622
zdt1_interval,lu,mopso,hypervolume,0.05,5000,13,20,200,0,False,24.709835238428596
zdt1_interval,lu,mopso,spread,0.05,5000,14,20,200,0,False,4.326353069226726
zdt1_interval,lu,mopso,hypervolume,0.05,5000,14,20,200,0,False,26.68299047730364
zdt1_interval,lu,mopso,spread,0.05,5000,15,20,200,0,False,5.655941042274625
zdt1_interval,lu,mopso,hypervolume,0.05,5000,15,20,200,0,False,26.00399672612204
zdt1_interval,ls,random_search,spread,0.05,5000,11,20,304,0,False,2.9597915180093115
zdt1_interval,ls,random_search,hypervolume,0.05,5000,11,20,304,0,False,0.003231697555691537
zdt1_interval,ls,random_search,spread,0.05,5000,12,20,270,0,False,2.5087021358426824
zdt1_interval,ls,random_search,hypervolume,0.05,5000,12,20,270,0,False,0.0032281359249754908
zdt1_interval,ls,random_search,spread,0.05,5000,13,20,274,0,False,3.493818378107388
zdt1_interval,ls,random_search,hypervolume,0.05,5000,13,20,274,0,False,0.0032271408204555957
zdt1_interval,ls,random_search,spread,0.05,5000,14,20,269,0,False,4.123936839952979
zdt1_interval,ls,random_search,hypervolume,0.05,5000,14,20,269,0,False,0.0033154133975100033
zdt1_interval,ls,random_search,spread,0.05,5000,15,20,285,0,False,3.295491040611158
zdt1_interval,ls,random_search,hypervolume,0.05,5000,15,20,285,0,False,0.0033393797020770956
zdt1_interval,ls,nsga2,spread,0.05,5000,11,20,100,0,False,3.5955327700431785
zdt1_interval,ls,nsga2,hypervolume,0.05,5000,11,20,100,0,False,0.0035675733291814856
zdt1_interval,ls,nsga2,spread,0.05,5000,12,20,100,0,False,2.485775167985853
zdt1_interval,ls,nsga2,hypervolume,0.05,5000,12,20,100,0,False,0.0037473623333804493
zdt1_interval,ls,nsga2,spread,0.05,5000,13,20,100,0,False,3.1880020077884113
zdt1_interval,ls,nsga2,hypervolume,0.05,5000,13,20,100,0,False,0.0045596110506077574
zdt1_interval,ls,nsga2,spread,0.05,5000,14,20,100,0,False,3.062006202841732
zdt1_interval,ls,nsga2,hypervolume,0.05,5000,14,20,100,0,False,0.00416838469739898
zdt1_interval,ls,nsga2,spread,0.05,5000,15,20,100,0,False,2.979508745149306
zdt1_interval,ls,nsga2,hypervolume,0.05,5000,15,20,100,0,False,0.0042726504480980155
zdt1_interval,ls,mopso,spread,0.05,5000,11,20,200,0,False,5.331272542763823
zdt1_interval,ls,mopso,hypervolume,0.05,5000,11,20,200,0,False,0.0037585834515657273
zdt1_interval,ls,mopso,spread,0.05,5000,12,20,200,0,False,4.807061828624614
zdt1_interval,ls,mopso,hypervolume,0.05,5000,12,20,200,0,False,0.0031408553539441476
zdt1_interval,ls,mopso,spread,0.05,5000,13,20,200,0,False,4.255070674052911
zdt1_interval,ls,mopso,hypervolume,0.05,5000,13,20,200,0,False,0.003680102458498263
zdt1_interval,ls,mopso,spread,0.05,5000,14,20,200,0,False,3.8807811951308544
zdt1_interval,ls,mopso,hypervolume,0.05,5000,14,20,200,0,False,0.003825770259947007
zdt1_interval,ls,mopso,spread,0.05,5000,15,20,200,0,False,4.032474735994628
zdt1_interval,ls,mopso,hypervolume,0.05,5000,15,20,200,0,False,0.0034273571634877344
zdt1_interval,cw,random_search,spread,0.05,5000,11,20,287,0,False,2.2039945977840882
zdt1_interval,cw,random_search,hypervolume,0.05,5000,11,20,287,0,False,0.0005679564634284288
zdt1_interval,cw,random_search,spread,0.05,5000,12,20,250,0,False,3.2611260288359714
