problem,solver,phi,eps,n_evals,n_seeds,pop_size,n_generations,saturates_in_every_seed,first_saturated_generation,median,q1,q3,iqr
zdt1_interval,nsga2,cw,0.0,5000,5,100,50,False,,46.0,44.0,48.0,4.0
zdt1_interval,nsga2,cw,0.05,5000,5,100,50,True,5.0,138.0,137.0,138.0,1.0
zdt1_interval,nsga2,cw,0.1,5000,5,100,50,True,5.0,138.0,137.0,138.0,1.0
zdt1_interval,nsga2,cw,0.1,20000,5,100,200,True,5.0,164.0,164.0,165.0,1.0
zdt1_interval,nsga2,cw,0.25,5000,5,100,50,True,5.0,138.0,137.0,138.0,1.0
zdt1_interval,nsga2,cw,0.5,5000,5,100,50,True,5.0,138.0,137.0,138.0,1.0
zdt1_interval,nsga2,ls,0.0,5000,5,100,50,False,,46.0,44.0,48.0,4.0
zdt1_interval,nsga2,ls,0.05,5000,5,100,50,True,4.0,143.0,142.0,145.0,3.0
zdt1_interval,nsga2,ls,0.1,5000,5,100,50,True,4.0,147.0,147.0,148.0,1.0
zdt1_interval,nsga2,ls,0.1,20000,5,100,200,True,4.0,156.0,156.0,157.0,1.0
zdt1_interval,nsga2,ls,0.25,5000,5,100,50,True,4.0,149.0,147.0,149.0,2.0
zdt1_interval,nsga2,ls,0.5,5000,5,100,50,True,3.0,150.0,149.0,151.0,2.0
zdt1_interval,nsga2,lu,0.0,5000,5,100,50,False,,46.0,44.0,48.0,4.0
zdt1_interval,nsga2,lu,0.05,5000,5,100,50,True,23.0,117.0,117.0,126.0,9.0
zdt1_interval,nsga2,lu,0.1,5000,5,100,50,True,17.0,122.0,122.0,124.0,2.0
zdt1_interval,nsga2,lu,0.1,20000,5,100,200,True,17.0,135.0,134.0,136.0,2.0
zdt1_interval,nsga2,lu,0.25,5000,5,100,50,True,15.0,121.0,121.0,124.0,3.0
zdt1_interval,nsga2,lu,0.5,5000,5,100,50,True,13.0,127.0,126.0,129.0,3.0
