problem,solver,phi_a,phi_b,status,metric,eps,n_evals,seed,cardinality_a,cardinality_b,delta,containment_violations,value
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap,0.0,5000,12,18,23,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap_jaccard,0.0,5000,12,18,23,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_a_in_b,0.0,5000,13,23,22,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_b_in_a,0.0,5000,13,23,22,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap,0.0,5000,13,23,22,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap_jaccard,0.0,5000,13,23,22,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_a_in_b,0.0,5000,14,22,15,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_b_in_a,0.0,5000,14,22,15,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap,0.0,5000,14,22,15,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap_jaccard,0.0,5000,14,22,15,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_a_in_b,0.0,5000,15,15,17,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,coverage_b_in_a,0.0,5000,15,15,17,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap,0.0,5000,15,15,17,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,lu,lu,finding,overlap_jaccard,0.0,5000,15,15,17,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,ls,ls,finding,coverage_a_in_b,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,ls,ls,finding,coverage_b_in_a,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,ls,ls,finding,overlap,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,ls,ls,finding,overlap_jaccard,0.0,5000,11,17,18,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,ls,ls,finding,coverage_a_in_b,0.0,5000,12,18,23,0.2738612787525831,,0.0
zdt1_interval,random_search_noise_floor,ls,ls,finding,coverage_b_in_a,0.0,5000,12,18,23,0.2738612787525831,,0.0
