problem,phi,metric,eps,n_evals,seed,delta_box_fraction,delta,box_scale,cardinality_a,cardinality_b,value
zdt1_interval,lu,coverage_a_in_b,0.05,5000,13,0.05,0.2738612787525831,5.477225575051661,34,36,0.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,13,0.05,0.2738612787525831,5.477225575051661,34,36,0.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,13,0.1,0.5477225575051662,5.477225575051661,34,36,0.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,13,0.1,0.5477225575051662,5.477225575051661,34,36,0.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,13,0.2,1.0954451150103324,5.477225575051661,34,36,0.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,13,0.2,1.0954451150103324,5.477225575051661,34,36,0.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,13,0.3,1.6431676725154982,5.477225575051661,34,36,0.23529411764705882
zdt1_interval,lu,coverage_b_in_a,0.05,5000,13,0.3,1.6431676725154982,5.477225575051661,34,36,0.3888888888888889
zdt1_interval,lu,coverage_a_in_b,0.05,5000,13,0.5,2.7386127875258306,5.477225575051661,34,36,1.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,13,0.5,2.7386127875258306,5.477225575051661,34,36,1.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,14,0.05,0.2738612787525831,5.477225575051661,36,20,0.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,14,0.05,0.2738612787525831,5.477225575051661,36,20,0.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,14,0.1,0.5477225575051662,5.477225575051661,36,20,0.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,14,0.1,0.5477225575051662,5.477225575051661,36,20,0.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,14,0.2,1.0954451150103324,5.477225575051661,36,20,0.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,14,0.2,1.0954451150103324,5.477225575051661,36,20,0.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,14,0.3,1.6431676725154982,5.477225575051661,36,20,0.3611111111111111
zdt1_interval,lu,coverage_b_in_a,0.05,5000,14,0.3,1.6431676725154982,5.477225575051661,36,20,0.55
zdt1_interval,lu,coverage_a_in_b,0.05,5000,14,0.5,2.7386127875258306,5.477225575051661,36,20,1.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,14,0.5,2.7386127875258306,5.477225575051661,36,20,1.0
zdt1_interval,lu,coverage_a_in_b,0.05,5000,15,0.05,0.2738612787525831,5.477225575051661,20,26,0.0
zdt1_interval,lu,coverage_b_in_a,0.05,5000,15,0.05,0.2738612787525831,5.477225575051661,20,26,0.0
