# metrics table, written by src/reporting.py, subpart d3. two blocks with
# different columns, and the split is the content and not the layout.
# every value is a median with its interquartile range over the seed count in
# the same row, and every row states the evaluation budget and the
# cardinality it was computed at. no cell is one run.

block,objective_space
# hypervolume, igd and spread are computed on the (k, 2m) rows of one
# phi's image. each phi maps the same problem into a different space on a
# different scale, CONTEXT.md section 5 step 5, so these compare solvers
# under one fixed phi and never rank one phi against another; a ratio
# taken across two phi here is a ratio of volumes in two different spaces
# and means nothing. all three move with the cardinality, r-16, which is
# why every row states the one it was computed at.
problem,phi,solver,metric,n_seeds,n_evals,cardinality,reference_size,sampling_mode,include_singular_segments,hv_reference_rule,hv_reference_point,median,q1,q3,iqr
dtlz2_interval,cw,mopso,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 0.0 2.4894551885672986 0.0 2.8681196440314154 0.0,2.067452517128901,2.0617158148788377,2.0998675610423634,0.03815174616352568
dtlz2_interval,cw,nsga2,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 0.0 2.4894551885672986 0.0 2.8681196440314154 0.0,1.841030447483096,1.8190452101972168,1.8932680293993112,0.07422281920209439
dtlz2_interval,cw,random_search,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 0.0 2.4894551885672986 0.0 2.8681196440314154 0.0,3.554415235038158,3.249299992052498,3.5924811042830913,0.3431811122305932
dtlz2_interval,ls,mopso,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 0.0 2.4894551885672986 0.0 2.8681196440314154 0.0,2.067452517128901,2.0617158148788377,2.0998675610423634,0.03815174616352568
dtlz2_interval,ls,nsga2,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 0.0 2.4894551885672986 0.0 2.8681196440314154 0.0,1.841030447483096,1.8190452101972168,1.8932680293993112,0.07422281920209439
dtlz2_interval,ls,random_search,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 0.0 2.4894551885672986 0.0 2.8681196440314154 0.0,3.554415235038158,3.249299992052498,3.5924811042830913,0.3431811122305932
dtlz2_interval,lu,mopso,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 2.476277424294724 2.4894551885672986 2.4894551885672986 2.8681196440314154 2.8681196440314154,241.82580369159479,241.58754003880816,242.12826633037326,0.5407262915651074
dtlz2_interval,lu,mopso,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 2.476277424294724 2.4894551885672986 2.4894551885672986 2.8681196440314154 2.8681196440314154,2.9238193892860855,2.9157064671607493,2.969661184013423,0.05395471685267372
dtlz2_interval,lu,nsga2,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 2.476277424294724 2.4894551885672986 2.4894551885672986 2.8681196440314154 2.8681196440314154,256.08359541890076,254.61188426148954,256.0858496707157,1.473965409226139
dtlz2_interval,lu,nsga2,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 2.476277424294724 2.4894551885672986 2.4894551885672986 2.8681196440314154 2.8681196440314154,2.603610227572403,2.5725184068307216,2.6774853243838894,0.10496691755316778
dtlz2_interval,lu,random_search,hypervolume,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 2.476277424294724 2.4894551885672986 2.4894551885672986 2.8681196440314154 2.8681196440314154,209.28611503868075,207.78755363664402,212.83645891226752,5.048905275623497
dtlz2_interval,lu,random_search,spread,5,5000,100,0,farthest_point,False,reference_front_nadir_plus_range_tenth,2.476277424294724 2.476277424294724 2.4894551885672986 2.4894551885672986 2.8681196440314154 2.8681196440314154,5.0267022316965155,4.595204116979432,5.080535500246222,0.4853313832667894
zdt1_interval,cw,mopso,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 0.0 6.357832900843013 0.0,1.112518291179402,1.0330906907975304,1.1647708964515693,0.13168020565403893
zdt1_interval,cw,nsga2,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 0.0 6.357832900843013 0.0,1.238387413202742,1.1816570382735871,1.3103669348648166,0.12870989659122944
zdt1_interval,cw,random_search,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 0.0 6.357832900843013 0.0,3.3330797019250995,3.2226745730673367,3.7310072818576367,0.5083327087903
zdt1_interval,ls,mopso,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 0.0 6.357832900843013 0.0,1.112518291179402,1.0330906907975304,1.1647708964515693,0.13168020565403893
zdt1_interval,ls,nsga2,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 0.0 6.357832900843013 0.0,1.238387413202742,1.1816570382735871,1.3103669348648166,0.12870989659122944
zdt1_interval,ls,random_search,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 0.0 6.357832900843013 0.0,3.3330797019250995,3.2226745730673367,3.7310072818576367,0.5083327087903
zdt1_interval,lu,mopso,hypervolume,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 1.073476243831008 6.357832900843013 6.357832900843013,36.759667685267104,35.84072941066412,39.324110498667714,3.483381088003597
zdt1_interval,lu,mopso,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 1.073476243831008 6.357832900843013 6.357832900843013,1.5733384557740504,1.4610108660872572,1.6472347988192773,0.1862239327320201
zdt1_interval,lu,nsga2,hypervolume,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 1.073476243831008 6.357832900843013 6.357832900843013,36.43997838643092,36.133871807587994,36.59412379446943,0.4602519868814383
zdt1_interval,lu,nsga2,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 1.073476243831008 6.357832900843013 6.357832900843013,1.7513442752234518,1.6711154096001304,1.8531386909710856,0.18202328137095525
zdt1_interval,lu,random_search,hypervolume,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 1.073476243831008 6.357832900843013 6.357832900843013,13.198427197417558,12.629889165928802,13.642931503513994,1.0130423375851922
zdt1_interval,lu,random_search,spread,5,5000,15,0,farthest_point,False,reference_front_nadir_plus_range_tenth,1.073476243831008 1.073476243831008 6.357832900843013 6.357832900843013,4.713686518932949,4.557550088346751,5.276441099315847,0.718891010969096

block,decision_space
# hausdorff, coverage, overlap and cross evaluation are computed on the
# recovered sets in the decision space, which is the one space every phi
# shares, so these are the metrics comparable across phi and this is the
# block a phi comparison is read from. a row whose status is check has one
# direction fixed by a containment before any solver ran, r-06 and r-11,
# so a difference there is in part a theorem; only a row whose status is
# finding carries the sensitivity signal.
problem,phi_a,phi_b,status,metric,n_seeds,n_evals,cardinality_a,cardinality_b,delta,box_scale,containment_violations,note,median,q1,q3,iqr
dtlz2_interval,ls,cw,check,coverage_a_in_b,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,coverage_b_in_a,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,cross_a_under_b,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,cross_b_under_a,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,ls,cw,check,hausdorff_a_to_b,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.0,0.0,0.0,0.0
dtlz2_interval,ls,cw,check,hausdorff_b_to_a,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.0,0.0,0.0,0.0
dtlz2_interval,ls,cw,check,hausdorff_symmetric,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",0.0,0.0,0.0,0.0
dtlz2_interval,ls,cw,check,overlap,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; check on r-06 and not a finding: ND_cw sits inside ND_ls exactly and for every problem, docs/a_close_containment.md, so coverage of cw in ls and one direction of the overlap are fixed before this runs. the containment is exact in real arithmetic and fails by rounding in doubles, one point of 1565 measured, r-11, so a nonzero violation count is arithmetic and never a result about phi. it stands on s-11; if the supervisors refute the criterion this pair is reported like the other and no result moves",1.0,1.0,1.0,0.0
dtlz2_interval,lu,cw,finding,coverage_a_in_b,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; nested in neither direction, so both directions are measured; this is the pair CONTEXT.md section 10 e3 takes the headline number from",1.0,1.0,1.0,0.0
dtlz2_interval,lu,cw,finding,coverage_b_in_a,5,5000,109,109,0.17320508075688773,3.4641016151377544,,"measured on mopso's own output, where phi drives the search as well as the ordering, so this is a question about how the solver behaves under each order and never a pair number of the study; delta is 0.05 of the box diameter, the box_scale column; overlap is dice, the two covered counts over the two cardinalities, and the jaccard value of the same pair is in overlap_conventions.csv; containment_violations is the largest count over the seeds; nested in neither direction, so both directions are measured; this is the pair CONTEXT.md section 10 e3 takes the headline number from",1.0,1.0,1.0,0.0
