problem,solver,phi,n_evals,seed,cardinality,n_columns,file
p0,random_search,lu,5000,12,5000,4,raw/p0_random_search_lu_5000.npz
p0,random_search,lu,5000,13,5000,4,raw/p0_random_search_lu_5000.npz
p0,random_search,lu,5000,14,5000,4,raw/p0_random_search_lu_5000.npz
p0,random_search,lu,5000,15,5000,4,raw/p0_random_search_lu_5000.npz
p0,random_search,lu,20000,11,20000,4,raw/p0_random_search_lu_20000.npz
p0,random_search,lu,20000,12,20000,4,raw/p0_random_search_lu_20000.npz
p0,random_search,lu,20000,13,20000,4,raw/p0_random_search_lu_20000.npz
p0,random_search,lu,20000,14,20000,4,raw/p0_random_search_lu_20000.npz
p0,random_search,lu,20000,15,20000,4,raw/p0_random_search_lu_20000.npz
p1,mopso,cw,5000,11,200,4,raw/p1_mopso_cw_5000.npz
p1,mopso,cw,5000,12,200,4,raw/p1_mopso_cw_5000.npz
p1,mopso,cw,5000,13,200,4,raw/p1_mopso_cw_5000.npz
p1,mopso,cw,5000,14,200,4,raw/p1_mopso_cw_5000.npz
p1,mopso,cw,5000,15,200,4,raw/p1_mopso_cw_5000.npz
p1,mopso,cw,20000,11,200,4,raw/p1_mopso_cw_20000.npz
p1,mopso,cw,20000,12,200,4,raw/p1_mopso_cw_20000.npz
p1,mopso,cw,20000,13,200,4,raw/p1_mopso_cw_20000.npz
p1,mopso,cw,20000,14,200,4,raw/p1_mopso_cw_20000.npz
p1,mopso,cw,20000,15,200,4,raw/p1_mopso_cw_20000.npz
p1,mopso,ls,5000,11,200,4,raw/p1_mopso_ls_5000.npz
p1,mopso,ls,5000,12,200,4,raw/p1_mopso_ls_5000.npz
p1,mopso,ls,5000,13,200,4,raw/p1_mopso_ls_5000.npz
p1,mopso,ls,5000,14,200,4,raw/p1_mopso_ls_5000.npz
p1,mopso,ls,5000,15,200,4,raw/p1_mopso_ls_5000.npz
p1,mopso,ls,20000,11,200,4,raw/p1_mopso_ls_20000.npz
p1,mopso,ls,20000,12,200,4,raw/p1_mopso_ls_20000.npz
p1,mopso,ls,20000,13,200,4,raw/p1_mopso_ls_20000.npz
p1,mopso,ls,20000,14,200,4,raw/p1_mopso_ls_20000.npz
p1,mopso,ls,20000,15,200,4,raw/p1_mopso_ls_20000.npz
p1,mopso,lu,5000,11,200,4,raw/p1_mopso_lu_5000.npz
p1,mopso,lu,5000,12,200,4,raw/p1_mopso_lu_5000.npz
p1,mopso,lu,5000,13,200,4,raw/p1_mopso_lu_5000.npz
p1,mopso,lu,5000,14,200,4,raw/p1_mopso_lu_5000.npz
p1,mopso,lu,5000,15,200,4,raw/p1_mopso_lu_5000.npz
p1,mopso,lu,20000,11,200,4,raw/p1_mopso_lu_20000.npz
p1,mopso,lu,20000,12,200,4,raw/p1_mopso_lu_20000.npz
p1,mopso,lu,20000,13,200,4,raw/p1_mopso_lu_20000.npz
p1,mopso,lu,20000,14,200,4,raw/p1_mopso_lu_20000.npz
p1,mopso,lu,20000,15,200,4,raw/p1_mopso_lu_20000.npz
p1,nsga2,cw,5000,11,100,4,raw/p1_nsga2_cw_5000.npz
p1,nsga2,cw,5000,12,100,4,raw/p1_nsga2_cw_5000.npz
p1,nsga2,cw,5000,13,100,4,raw/p1_nsga2_cw_5000.npz
p1,nsga2,cw,5000,14,100,4,raw/p1_nsga2_cw_5000.npz
p1,nsga2,cw,5000,15,100,4,raw/p1_nsga2_cw_5000.npz
p1,nsga2,cw,20000,11,100,4,raw/p1_nsga2_cw_20000.npz
p1,nsga2,cw,20000,12,100,4,raw/p1_nsga2_cw_20000.npz
p1,nsga2,cw,20000,13,100,4,raw/p1_nsga2_cw_20000.npz
p1,nsga2,cw,20000,14,100,4,raw/p1_nsga2_cw_20000.npz
p1,nsga2,cw,20000,15,100,4,raw/p1_nsga2_cw_20000.npz
p1,nsga2,ls,5000,11,100,4,raw/p1_nsga2_ls_5000.npz
p1,nsga2,ls,5000,12,100,4,raw/p1_nsga2_ls_5000.npz
p1,nsga2,ls,5000,13,100,4,raw/p1_nsga2_ls_5000.npz
p1,nsga2,ls,5000,14,100,4,raw/p1_nsga2_ls_5000.npz
p1,nsga2,ls,5000,15,100,4,raw/p1_nsga2_ls_5000.npz
p1,nsga2,ls,20000,11,100,4,raw/p1_nsga2_ls_20000.npz
p1,nsga2,ls,20000,12,100,4,raw/p1_nsga2_ls_20000.npz
p1,nsga2,ls,20000,13,100,4,raw/p1_nsga2_ls_20000.npz
p1,nsga2,ls,20000,14,100,4,raw/p1_nsga2_ls_20000.npz
p1,nsga2,ls,20000,15,100,4,raw/p1_nsga2_ls_20000.npz
p1,nsga2,lu,5000,11,100,4,raw/p1_nsga2_lu_5000.npz
p1,nsga2,lu,5000,12,100,4,raw/p1_nsga2_lu_5000.npz
p1,nsga2,lu,5000,13,100,4,raw/p1_nsga2_lu_5000.npz
p1,nsga2,lu,5000,14,100,4,raw/p1_nsga2_lu_5000.npz
p1,nsga2,lu,5000,15,100,4,raw/p1_nsga2_lu_5000.npz
p1,nsga2,lu,20000,11,100,4,raw/p1_nsga2_lu_20000.npz
p1,nsga2,lu,20000,12,100,4,raw/p1_nsga2_lu_20000.npz
p1,nsga2,lu,20000,13,100,4,raw/p1_nsga2_lu_20000.npz
p1,nsga2,lu,20000,14,100,4,raw/p1_nsga2_lu_20000.npz
p1,nsga2,lu,20000,15,100,4,raw/p1_nsga2_lu_20000.npz
p1,random_search,cw,5000,11,1544,4,raw/p1_random_search_cw_5000.npz
p1,random_search,cw,5000,12,1528,4,raw/p1_random_search_cw_5000.npz
p1,random_search,cw,5000,13,1591,4,raw/p1_random_search_cw_5000.npz
p1,random_search,cw,5000,14,1501,4,raw/p1_random_search_cw_5000.npz
p1,random_search,cw,5000,15,1504,4,raw/p1_random_search_cw_5000.npz
p1,random_search,cw,20000,11,5726,4,raw/p1_random_search_cw_20000.npz
p1,random_search,cw,20000,12,5742,4,raw/p1_random_search_cw_20000.npz
p1,random_search,cw,20000,13,5769,4,raw/p1_random_search_cw_20000.npz
p1,random_search,cw,20000,14,5743,4,raw/p1_random_search_cw_20000.npz
p1,random_search,cw,20000,15,5723,4,raw/p1_random_search_cw_20000.npz
p1,random_search,ls,5000,11,2220,4,raw/p1_random_search_ls_5000.npz
p1,random_search,ls,5000,12,2253,4,raw/p1_random_search_ls_5000.npz
p1,random_search,ls,5000,13,2256,4,raw/p1_random_search_ls_5000.npz
p1,random_search,ls,5000,14,2195,4,raw/p1_random_search_ls_5000.npz
p1,random_search,ls,5000,15,2182,4,raw/p1_random_search_ls_5000.npz
